เอสเปรสโซ่,Espresso
คัปปุชชีโน,Cappuccino
ลาเต้,Latte
มอคค่า,Mocha
กาแฟดำผสมน้ำผึ้ง,Honey_Black_Coffee
กาแฟดำผสมน้ำผึ้งมะนาว,Honey_Black_Coffee_Lemon
ชา,Tea
ชาเขียวนม,Green_Tea_with_Milk
ชานม,Milk_Tea
ชามะนาว,Lemonade_Tea
ชาดำ,Black_Tea
ชาเขียวน้ำผึ้ง,Matcha_Honey
ดาร์คช็อกโกแลต,Dark_chocolate
นมสด,Fresh_Milk
ช็อกโกแลต,Chocolate
น้ำลิ้นจี่,Lynchee_Juice
น้ำสตรอเบอร์รี่,Strawberry_juice
น้ำกีวี่,Kiwi_Juice
คุกกี้,Cookie
บราวนี้,Brownies
ขนมเค้ก,Cake
ครัวซอง,Croissant
ฮอทดอก,hotdog
ขนมปังปิ้ง,Toast
ฮันนี้โทส,honey-toast
แฮมเบอร์เกอร์,hamburger